Unnamed: 0,Company,1,2,3,4,5,6,sum,Period
0,Digi,4,4,0,0,0,0,8,14
1,Profit,6,10,0,0,0,0,16,14
2,Primus,12,17,3,0,0,0,32,14
3,Best,4,14,4,0,0,0,22,14
4,Mikro,2,3,0,0,0,0,5,14
0,Digi,0,2,11,0,0,0,13,19
1,Profit,0,8,4,7,0,0,19,19
2,Primus,0,13,3,14,1,0,31,19
3,Best,0,10,3,6,1,0,21,19
4,Mikro,0,6,4,0,0,0,11,19
0,Digi,0,1,7,1,0,0,9,21
1,Profit,0,2,3,16,0,0,21,21
2,Primus,0,7,3,16,3,0,28,21
3,Best,0,4,2,7,6,4,23,21
4,Mikro,0,4,9,0,0,0,13,21
0,Digi,1,3,1,0,0,0,6,15
1,Profit,3,17,1,0,0,0,20,15
2,Primus,0,13,3,2,0,0,19,15
3,Best,2,16,6,0,0,0,24,15
4,Mikro,2,7,0,0,0,0,9,15
0,Digi,0,3,7,0,0,0,10,17
1,Profit,0,14,2,1,0,0,17,17
2,Primus,0,19,4,6,0,0,30,17
3,Best,0,11,5,2,0,0,19,17
4,Mikro,1,8,1,0,0,0,9,17
0,Digi,6,4,0,0,0,0,10,13
1,Profit,11,19,0,0,0,0,30,13
2,Primus,13,9,2,0,0,0,24,13
3,Best,7,12,4,0,0,0,23,13
4,Mikro,3,2,0,0,0,0,5,13
0,Digi,0,0,7,5,0,0,12,22
1,Profit,0,1,2,17,1,0,21,22
2,Primus,0,4,2,16,5,0,28,22
3,Best,0,3,1,5,6,8,23,22
4,Mikro,0,3,9,0,0,0,12,22
0,Digi,0,2,8,0,0,0,11,18
1,Profit,0,4,3,5,0,0,12,18
2,Primus,0,16,3,10,0,0,29,18
3,Best,0,14,5,5,1,0,24,18
4,Mikro,1,6,1,0,0,0,8,18
0,Digi,0,0,3,5,0,0,8,23
1,Profit,0,0,1,15,2,0,18,23
2,Primus,0,2,1,16,7,0,28,23
3,Best,0,2,1,3,7,13,25,23
4,Mikro,0,2,9,0,0,0,12,23
0,Digi,0,2,7,1,0,0,9,20
1,Profit,0,6,4,14,0,0,23,20
2,Primus,0,9,3,13,2,0,28,20
3,Best,0,7,3,6,4,1,21,20
4,Mikro,0,5,7,0,0,0,13,20
0,Digi,0,4,4,0,0,0,8,16
1,Profit,0,17,1,0,0,0,18,16
2,Primus,0,28,3,2,0,0,33,16
3,Best,1,15,7,1,0,0,24,16
4,Mikro,1,8,0,0,0,0,10,16
0,Digi,0,3,7,0,0,0,10,17
1,Profit,0,14,2,1,0,0,17,17
2,Primus,0,19,4,6,0,0,30,17
3,Best,0,11,5,2,0,0,19,17
4,Mikro,1,8,1,0,0,0,9,17
