Period,Company,Model,Marketing End,Rate of coverage of model,Durability,Design,Connectivity,Maintenance,Accessories,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Marketing_share,Marketing_retail,Price
15,Digi,1,300,63.0,0.5,1.4,0.5,0.5,0.5,3.0,2.0,4.0,2.0,2.0,3.0,2.0,1,500.0,1950
15,Profit,1,329,48.0,0.5,0.5,0.5,0.9,0.5,2.0,4.0,7.0,2.0,3.0,6.0,2.0,3,329.0,1775
15,Primus,1,0,51.0,0.5,0.5,0.5,0.9,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,50.0,
15,Best,1,0,46.0,0.5,0.5,0.5,1.4,0.5,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2,100.0,1750
15,Mikro,1,800,47.0,0.5,0.5,0.5,0.5,0.5,2.0,3.0,6.0,1.0,2.0,4.0,1.0,2,200.0,1750
13,Digi,1,300,71.0,0.6,1.8,0.6,0.6,0.6,7.0,5.0,5.0,7.0,5.0,5.0,7.0,6,600.0,1999
13,Profit,1,329,55.0,0.6,0.6,0.6,1.2,0.6,12.0,19.0,28.0,11.0,16.0,24.0,10.0,11,329.0,1704
13,Primus,1,500,69.0,0.6,0.6,0.6,1.2,0.6,11.0,19.0,27.0,10.0,15.0,22.0,10.0,13,400.0,
13,Best,1,400,66.0,0.6,0.6,0.6,1.8,0.6,6.0,7.0,7.0,6.0,7.0,8.0,8.0,7,600.0,2016
13,Mikro,1,500,53.0,0.6,0.6,0.6,0.6,0.6,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3,400.0,2000
14,Digi,1,300,68.0,0.5,1.6,0.5,0.5,0.5,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4,700.0,1850
14,Profit,1,329,51.0,0.5,0.5,0.5,1.1,0.5,5.0,6.0,9.0,4.0,6.0,9.0,5.0,6,329.0,1850
14,Primus,1,400,63.0,0.5,0.5,0.5,1.1,0.5,8.0,16.0,31.0,7.0,11.0,22.0,7.0,12,600.0,
14,Best,1,200,55.0,0.5,0.5,0.5,1.6,0.5,4.0,5.0,6.0,4.0,4.0,6.0,5.0,4,400.0,1 800
14,Mikro,1,900,53.0,0.5,0.5,0.5,0.5,0.5,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2,500.0,1950
18,Digi,1,0,0.0,0.3,0.8,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
18,Profit,1,0,0.0,0.3,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
18,Primus,1,0,0.0,0.3,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
18,Best,1,0,7.0,0.3,0.3,0.3,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2000
18,Mikro,1,400,23.0,0.3,0.3,0.3,0.3,0.3,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1,100.0,1600
19,Digi,1,0,0.0,0.2,0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
19,Profit,1,0,0.0,0.2,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
19,Primus,1,0,0.0,0.2,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
19,Best,1,0,0.0,0.2,0.2,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
19,Mikro,1,400,24.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,100.0,1650
17,Digi,1,0,0.0,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
17,Profit,1,0,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
17,Primus,1,50,21.0,0.3,0.3,0.3,0.7,0.3,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0,50.0,
17,Best,1,0,17.0,0.3,0.3,0.3,1.0,0.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.0,1750
17,Mikro,1,500,31.0,0.3,0.3,0.3,0.3,0.3,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1,100.0,1 600
22,Digi,1,0,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
22,Profit,1,0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
22,Primus,1,0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
22,Best,1,0,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
22,Mikro,1,100,9.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1 500
16,Digi,1,0,0.0,0.4,1.2,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
16,Profit,1,0,30.0,0.4,0.4,0.4,0.8,0.4,1.0,2.0,3.0,1.0,1.0,3.0,1.0,0,0.0,1199
16,Primus,1,0,33.0,0.4,0.4,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
16,Best,1,0,28.0,0.4,0.4,0.4,1.2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1750
16,Mikro,1,300,40.0,0.4,0.4,0.4,0.4,0.4,1.0,2.0,4.0,1.0,1.0,3.0,0.0,1,200.0,1650
20,Digi,1,0,0.0,0.1,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
20,Profit,1,0,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
20,Primus,1,0,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
20,Best,1,0,0.0,0.1,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
20,Mikro,1,500,21.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,1600
