Model,Price,Period
Digi1,1,23
Digi2,2 900,23
Digi3,2900,23
Digi4,1900,23
Profit1,1,23
Profit2,2180,23
Profit3,2499,23
Profit4,1897,23
Profit5,2 299,23
Best1,1,23
Best2,1999,23
Best3,2 699,23
Best4,2 849,23
Best5,2 449,23
Best6,1899,23
Mikro1,1 600,23
Mikro2,3400,23
Mikro3,1 850,23
Digi1,1,16
Digi2,3400,16
Digi3,2200,16
Profit1,1199,16
Profit2,2274,16
Profit3,3399,16
Best1,1750,16
Best2,2187,16
Best3,2982,16
Best4,2799,16
Mikro1,1650,16
Mikro2,3450,16
Digi1,1950,15
Digi2,3600,15
Digi3,2 350,15
Profit1,1775,15
Profit2,2283,15
Profit3,3399,15
Best1,1750,15
Best2,2 249,15
Best3,3150,15
Best4,2940,15
Mikro1,1750,15
Mikro2,3500,15
Digi1,1,20
Digi2,3300,20
Digi3,2 650,20
Digi4,2 150,20
Profit1,1,20
Profit2,2180,20
Profit3,2499,20
Profit4,1 899,20
Best1,1,20
Best2,2179,20
Best3,2 899,20
Best4,2799,20
Best5,2 449,20
Best6,1 899,20
Mikro1,1600,20
Mikro2,3400,20
Mikro3,1900,20
Digi1,1,18
Digi2,3290,18
Digi3,2 350,18
Profit1,1,18
Profit2,2180,18
Profit3,2699,18
Profit4,1799,18
Best1,2000,18
Best2,2025,18
Best3,2993,18
Best4,2699,18
Best5,2449,18
Mikro1,1600,18
Mikro2,3450,18
Mikro3,1950,18
Digi1,1,22
Digi2,2 900,22
Digi3,2 500,22
Digi4,1900,22
Profit1,1,22
Profit2,2180,22
Profit3,2499,22
Profit4,1899,22
Profit5,2239,22
Best1,1,22
Best2,1999,22
Best3,2 699,22
Best4,2 699,22
Best5,2 449,22
Best6,1899,22
Mikro1,1 500,22
Mikro2,3400,22
Mikro3,1895,22
Digi1,1999,13
Digi2,3600,13
Profit1,1704,13
Profit2,2294,13
Profit3,3757,13
Best1,2016,13
Best2,2 300,13
Best3,3255,13
Mikro1,2000,13
Mikro2,4 000,13
Digi1,1,17
Digi2,3300,17
Digi3,2 250,17
Profit1,1,17
Profit2,2180,17
Profit3,2 899,17
Profit4,1959,17
Best1,1750,17
Best2,2 268,17
Best3,3150,17
Best4,2 877,17
Best5,2 598,17
Mikro1,1 600,17
Mikro2,3450,17
Mikro3,1950,17
Digi1,1850,14
Digi2,3500,14
Digi3,2 350,14
Profit1,1850,14
Profit2,2 399,14
Profit3,3538,14
Best1,1 800,14
Best2,2 268,14
Best3,3150,14
Mikro1,1950,14
Mikro2,3750,14
Digi1,1,21
Digi2,2 900,21
Digi3,2 600,21
Digi4,2100,21
Profit1,1,21
Profit2,2180,21
Profit3,2499,21
Profit4,1899,21
Profit5,2 299,21
Best1,1,21
Best2,2 159,21
Best3,2919,21
Best4,2 699,21
Best5,2 449,21
Best6,1879,21
Mikro1,1 500,21
Mikro2,3400,21
Mikro3,1895,21
Digi1,1,19
Digi2,3250,19
Digi3,2350,19
Digi4,2150,19
Profit1,1,19
Profit2,2210,19
Profit3,2 599,19
Profit4,1 986,19
Best1,1,19
Best2,2229,19
Best3,2999,19
Best4,2779,19
Best5,2579,19
Best6,1979,19
Mikro1,1650,19
Mikro2,3450,19
Mikro3,1950,19
